;;Total number of projects;Maximum number of projects in a client country;;Maximum number of projects in a provider country;;;;;;
;;785030;49195;;155501;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Client Country;Provider Country;Number collaborations;Sum number of projects in client country;Percent of maxiumum number of projects in a client country;Sum number of projects in provider country;Percentage of maximum number of projects in client country;Maximum number of collaboration between the client country and a provider country;Percentage of maxium collaborations for client country;Maximum number of collaboration between the provider country and a client country;Percentage of maxium collaborations for client country;
Australia;Philippines;1413;49195;100;13478;8,67;10743;13,15;7059;20,02;
Australia;Poland;364;49195;100;7145;4,59;10743;3,39;3520;10,34;
Australia;Portugal;139;49195;100;2963;1,91;10743;1,29;1682;8,26;
Australia;Puerto Rico;4;49195;100;56;0,04;10743;0,04;31;12,9;
Australia;Qatar;7;49195;100;374;0,24;10743;0,07;257;2,72;
Australia;Romania;5410;49195;100;92390;59,41;10743;50,36;48482;11,16;
Australia;Russian Federation;1180;49195;100;28357;18,24;10743;10,98;14718;8,02;
Australia;Rwanda;2;49195;100;42;0,03;10743;0,02;23;8,7;
Australia;Saint Lucia;4;49195;100;44;0,03;10743;0,04;25;16;
Australia;Saint Vincent and the Grenadines;16;49195;100;81;0,05;10743;0,15;29;55,17;
Australia;San Marino;1;49195;100;11;0,01;10743;0,01;4;25;
Australia;Saudi Arabia;39;49195;100;645;0,41;10743;0,36;335;11,64;
Australia;Serbia;643;49195;100;10957;7,05;10743;5,99;5747;11,19;
Australia;Serbia + Montenegro (old);29;49195;100;699;0,45;10743;0,27;393;7,38;
Australia;Singapore;142;49195;100;2154;1,39;10743;1,32;1182;12,01;
Australia;Slovakia;25;49195;100;631;0,41;10743;0,23;306;8,17;
Australia;Slovenia;26;49195;100;630;0,41;10743;0,24;332;7,83;
Australia;South Africa;122;49195;100;2355;1,51;10743;1,14;1027;11,88;
Australia;Spain;197;49195;100;4028;2,59;10743;1,83;1948;10,11;
Australia;Sri Lanka;657;49195;100;6306;4,06;10743;6,12;2884;22,78;
Australia;Sweden;145;49195;100;3060;1,97;10743;1,35;1468;9,88;
Australia;Switzerland;34;49195;100;736;0,47;10743;0,32;333;10,21;
Australia;Syrian Arab Republic;30;49195;100;360;0,23;10743;0,28;137;21,9;
Australia;Taiwan;3;49195;100;129;0,08;10743;0,03;61;4,92;
Australia;Tajikistan;4;49195;100;48;0,03;10743;0,04;2;200;
Australia;Tanzania;1;49195;100;23;0,01;10743;0,01;9;11,11;
Australia;Thailand;137;49195;100;1454;0,94;10743;1,28;717;19,11;
Australia;Trinidad and Tobago;2;49195;100;43;0,03;10743;0,02;17;11,76;
Australia;Tunisia;145;49195;100;1968;1,27;10743;1,35;825;17,58;
Australia;Turkey;241;49195;100;4827;3,1;10743;2,24;2421;9,95;
Australia;Uganda;1;49195;100;40;0,03;10743;0,01;26;3,85;
Australia;Ukraine;1273;49195;100;27775;17,86;10743;11,85;13875;9,17;
Australia;United Arab Emirates;139;49195;100;2335;1,5;10743;1,29;1226;11,34;
Australia;United Kingdom;1898;49195;100;29927;19,25;10743;17,67;14558;13,04;
Australia;United States;5992;49195;100;105420;67,79;10743;55,78;64074;9,35;
Australia;Uruguay;47;49195;100;1500;0,96;10743;0,44;923;5,09;
Australia;Uzbekistan;31;49195;100;393;0,25;10743;0,29;208;14,9;
Australia;Venezuela;19;49195;100;613;0,39;10743;0,18;382;4,97;
Australia;Vietnam;702;49195;100;9827;6,32;10743;6,53;4529;15,5;
Australia;Yemen;1;49195;100;33;0,02;10743;0,01;18;5,56;
Australia;Zimbabwe;9;49195;100;92;0,06;10743;0,08;40;22,5;
Austria;;5;1483;3;0;0;257;1,95;1527;0,33;
Austria;Albania ;1;1483;3;68;0,04;257;0,39;37;2,7;
Austria;Argentina;12;1483;3;12720;8,18;257;4,67;6839;0,18;
Austria;Armenia;6;1483;3;1985;1,28;257;2,33;1066;0,56;
Austria;Australia;7;1483;3;9761;6,28;257;2,72;5051;0,14;
Austria;Austria;2;1483;3;602;0,39;257;0,78;279;0,72;
Austria;Azerbaijan;8;1483;3;823;0,53;257;3,11;493;1,62;
Austria;Bangladesh;111;1483;3;17468;11,23;257;43,19;8416;1,32;
Austria;Belarus ;10;1483;3;3044;1,96;257;3,89;1391;0,72;
Austria;Belgium ;2;1483;3;1653;1,06;257;0,78;853;0,23;
Austria;Bosnia and Herzegowina;5;1483;3;1563;1,01;257;1,95;800;0,63;
Austria;Brazil;18;1483;3;4834;3,11;257;7;2612;0,69;
Austria;Bulgaria;16;1483;3;9387;6,04;257;6,23;4695;0,34;
Austria;Canada;59;1483;3;25485;16,39;257;22,96;14440;0,41;
Austria;Chile;1;1483;3;493;0,32;257;0,39;293;0,34;
Austria;China;18;1483;3;7801;5,02;257;7;3871;0,46;
Austria;Croatia;6;1483;3;2778;1,79;257;2,33;1364;0,44;
Austria;Cyprus;4;1483;3;441;0,28;257;1,56;309;1,29;
Austria;Czech Republic;2;1483;3;1181;0,76;257;0,78;175;1,14;
Austria;Dominican Republic;1;1483;3;752;0,48;257;0,39;412;0,24;
Austria;Egypt;38;1483;3;17182;11,05;257;14,79;8809;0,43;
Austria;El Salvador;1;1483;3;260;0,17;257;0,39;155;0,65;
Austria;Estonia;1;1483;3;800;0,51;257;0,39;438;0,23;
Austria;France;5;1483;3;3513;2,26;257;1,95;1601;0,31;
Austria;Germany ;23;1483;3;7974;5,13;257;8,95;3700;0,62;
Austria;Greece;3;1483;3;1848;1,19;257;1,17;844;0,36;
Austria;Guatemala;3;1483;3;187;0,12;257;1,17;95;3,16;
Austria;Honduras;1;1483;3;89;0,06;257;0,39;46;2,17;
Austria;Hong Kong;1;1483;3;671;0,43;257;0,39;418;0,24;
Austria;Hungary;4;1483;3;1694;1,09;257;1,56;775;0,52;
Austria;India;257;1483;3;155501;100;257;100;80388;0,32;
Austria;Indonesia;11;1483;3;7742;4,98;257;4,28;4116;0,27;
Austria;Ireland;3;1483;3;925;0,59;257;1,17;477;0,63;
Austria;Israel;6;1483;3;3125;2,01;257;2,33;1688;0,36;
Austria;Italy;12;1483;3;3404;2,19;257;4,67;1452;0,83;
Austria;Jordan;2;1483;3;864;0,56;257;0,78;438;0,46;
Austria;Kenya;1;1483;3;1637;1,05;257;0,39;818;0,12;
Austria;Latvia;2;1483;3;655;0,42;257;0,78;255;0,78;
Austria;Lithuania;6;1483;3;1867;1,2;257;2,33;958;0,63;
Austria;Malaysia;1;1483;3;3160;2,03;257;0,39;1760;0,06;
Austria;Mexico;5;1483;3;3465;2,23;257;1,95;1732;0,29;
Austria;Moldova;8;1483;3;3146;2,02;257;3,11;1541;0,52;
Austria;Nepal;4;1483;3;1861;1,2;257;1,56;1018;0,39;
Austria;Netherlands;6;1483;3;3487;2,24;257;2,33;1579;0,38;
Austria;New Zealand;1;1483;3;1482;0,95;257;0,39;827;0,12;
Austria;Nigeria;1;1483;3;909;0,58;257;0,39;444;0,23;
Austria;Norway;1;1483;3;779;0,5;257;0,39;348;0,29;
Austria;Oman;1;1483;3;306;0,2;257;0,39;125;0,8;
Austria;Pakistan;89;1483;3;72899;46,88;257;34,63;36757;0,24;
Austria;Peru;2;1483;3;919;0,59;257;0,78;498;0,4;
Austria;Philippines;14;1483;3;13478;8,67;257;5,45;7059;0,2;
Austria;Poland;17;1483;3;7145;4,59;257;6,61;335;5,07;
Austria;Portugal;6;1483;3;2963;1,91;257;2,33;384;1,56;
Austria;Romania;159;1483;3;92390;59,41;257;61,87;48482;0,33;
Austria;Russian Federation;60;1483;3;28357;18,24;257;23,35;14718;0,41;
Austria;Saudi Arabia;1;1483;3;645;0,41;257;0,39;335;0,3;
Austria;Serbia;15;1483;3;10957;7,05;257;5,84;5747;0,26;
Austria;Singapore;6;1483;3;2154;1,39;257;2,33;1182;0,51;
Austria;Slovakia;1;1483;3;631;0,41;257;0,39;306;0,33;
Austria;South Africa;10;1483;3;2355;1,51;257;3,89;1027;0,97;
Austria;Spain;16;1483;3;4028;2,59;257;6,23;1948;0,82;
Austria;Sri Lanka;7;1483;3;6306;4,06;257;2,72;2884;0,24;
Austria;Sweden;13;1483;3;3060;1,97;257;5,06;1468;0,89;
Austria;Switzerland;3;1483;3;736;0,47;257;1,17;333;0,9;
Austria;Syrian Arab Republic;1;1483;3;360;0,23;257;0,39;137;0,73;
Austria;Thailand;4;1483;3;1454;0,94;257;1,56;717;0,56;
Austria;Tunisia;2;1483;3;1968;1,27;257;0,78;825;0,24;
Austria;Turkey;7;1483;3;4827;3,1;257;2,72;2421;0,29;
Austria;Ukraine;83;1483;3;27775;17,86;257;32,3;13875;0,6;
Austria;United Arab Emirates;3;1483;3;2335;1,5;257;1,17;1226;0,24;
Austria;United Kingdom;73;1483;3;29927;19,25;257;28,4;14558;0,5;
Austria;United States;172;1483;3;105420;67,79;257;66,93;64074;0,27;
Austria;Uruguay;1;1483;3;1500;0,96;257;0,39;923;0,11;
Austria;Venezuela;2;1483;3;613;0,39;257;0,78;382;0,52;
Austria;Vietnam;14;1483;3;9827;6,32;257;5,45;4529;0,31;
Azerbaijan;Belarus ;1;11;0;3044;1,96;5;20;1391;0,07;
Azerbaijan;Canada;1;11;0;25485;16,39;5;20;14440;0,01;
Azerbaijan;Pakistan;1;11;0;72899;46,88;5;20;36757;0;
Azerbaijan;Philippines;1;11;0;13478;8,67;5;20;7059;0,01;
Azerbaijan;Russian Federation;1;11;0;28357;18,24;5;20;14718;0,01;
Azerbaijan;Slovenia;1;11;0;630;0,41;5;20;332;0,3;
Azerbaijan;United States;5;11;0;105420;67,79;5;100;64074;0,01;
Bahamas;;1;102;0,2;0;0;28;3,57;1527;0,07;
Bahamas;Argentina;2;102;0,2;12720;8,18;28;7,14;6839;0,03;
Bahamas;Bangladesh;1;102;0,2;17468;11,23;28;3,57;8416;0,01;
Bahamas;Belarus ;2;102;0,2;3044;1,96;28;7,14;24;8,33;
Bahamas;Bulgaria;1;102;0,2;9387;6,04;28;3,57;102;0,98;
Bahamas;Estonia;2;102;0,2;800;0,51;28;7,14;438;0,46;
Bahamas;India;28;102;0,2;155501;100;28;100;80388;0,03;
Bahamas;Indonesia;3;102;0,2;7742;4,98;28;10,71;4116;0,07;
Bahamas;Morocco;1;102;0,2;1112;0,72;28;3,57;517;0,19;
Bahamas;Pakistan;14;102;0,2;72899;46,88;28;50;36757;0,04;
Bahamas;Philippines;1;102;0,2;13478;8,67;28;3,57;7059;0,01;
Bahamas;Poland;3;102;0,2;7145;4,59;28;10,71;3520;0,09;
Bahamas;Romania;24;102;0,2;92390;59,41;28;85,71;48482;0,05;
Bahamas;Sri Lanka;1;102;0,2;6306;4,06;28;3,57;2884;0,03;
Bahamas;Turkey;1;102;0,2;4827;3,1;28;3,57;2421;0,04;
Bahamas;Ukraine;3;102;0,2;27775;17,86;28;10,71;13875;0,02;
Bahamas;United Kingdom;1;102;0,2;29927;19,25;28;3,57;14558;0,01;
Bahamas;United States;12;102;0,2;105420;67,79;28;42,86;64074;0,02;
Bahamas;Vietnam;1;102;0,2;9827;6,32;28;3,57;4529;0,02;
Bahrain;Australia;2;325;0,7;9761;6,28;53;3,77;5051;0,04;
Bahrain;Austria;3;325;0,7;602;0,39;53;5,66;279;1,08;
Bahrain;Bangladesh;8;325;0,7;17468;11,23;53;15,09;8416;0,1;
Bahrain;Brazil;1;325;0,7;4834;3,11;53;1,89;2612;0,04;
Bahrain;Canada;14;325;0,7;25485;16,39;53;26,42;14440;0,1;
Bahrain;China;2;325;0,7;7801;5,02;53;3,77;3871;0,05;
Bahrain;Egypt;53;325;0,7;17182;11,05;53;100;8809;0,6;
Bahrain;France;1;325;0,7;3513;2,26;53;1,89;1601;0,06;
Bahrain;Germany ;1;325;0,7;7974;5,13;53;1,89;3700;0,03;
Bahrain;India;53;325;0,7;155501;100;53;100;80388;0,07;
Bahrain;Ireland;1;325;0,7;925;0,59;53;1,89;477;0,21;
Bahrain;Lebanon;1;325;0,7;1029;0,66;53;1,89;544;0,18;
Bahrain;Malaysia;2;325;0,7;3160;2,03;53;3,77;1760;0,11;
Bahrain;Mexico;4;325;0,7;3465;2,23;53;7,55;1732;0,23;
Bahrain;Morocco;1;325;0,7;1112;0,72;53;1,89;517;0,19;
Bahrain;Nepal;1;325;0,7;1861;1,2;53;1,89;1018;0,1;
Bahrain;Pakistan;24;325;0,7;72899;46,88;53;45,28;36757;0,07;
Bahrain;Peru;2;325;0,7;919;0,59;53;3,77;498;0,4;
Bahrain;Philippines;30;325;0,7;13478;8,67;53;56,6;203;14,78;
Bahrain;Poland;4;325;0,7;7145;4,59;53;7,55;335;1,19;
Bahrain;Portugal;2;325;0,7;2963;1,91;53;3,77;1682;0,12;
Bahrain;Romania;47;325;0,7;92390;59,41;53;88,68;48482;0,1;
Bahrain;Saudi Arabia;1;325;0,7;645;0,41;53;1,89;335;0,3;
Bahrain;Serbia;2;325;0,7;10957;7,05;53;3,77;5747;0,03;
Bahrain;Singapore;1;325;0,7;2154;1,39;53;1,89;1182;0,08;
Bahrain;Spain;2;325;0,7;4028;2,59;53;3,77;1948;0,1;
Bahrain;Sri Lanka;4;325;0,7;6306;4,06;53;7,55;2884;0,14;
Bahrain;Sweden;2;325;0,7;3060;1,97;53;3,77;1468;0,14;
Bahrain;Syrian Arab Republic;3;325;0,7;360;0,23;53;5,66;137;2,19;
Bahrain;Turkey;1;325;0,7;4827;3,1;53;1,89;2421;0,04;
Bahrain;United Arab Emirates;4;325;0,7;2335;1,5;53;7,55;1226;0,33;
Bahrain;United Kingdom;28;325;0,7;29927;19,25;53;52,83;14558;0,19;
Bahrain;United States;18;325;0,7;105420;67,79;53;33,96;64074;0,03;
Bahrain;Vietnam;2;325;0,7;9827;6,32;53;3,77;4529;0,04;
Bangladesh;;1;680;1,4;0;0;171;0,58;1527;0,07;
Bangladesh;Argentina;12;680;1,4;12720;8,18;171;7,02;6839;0,18;
Bangladesh;Armenia;1;680;1,4;1985;1,28;171;0,58;1066;0,09;
Bangladesh;Australia;2;680;1,4;9761;6,28;171;1,17;5051;0,04;
Bangladesh;Bangladesh;123;680;1,4;17468;11,23;171;71,93;8416;1,46;
Bangladesh;Belarus ;6;680;1,4;3044;1,96;171;3,51;1391;0,43;
Bangladesh;Bosnia and Herzegowina;2;680;1,4;1563;1,01;171;1,17;800;0,25;
Bangladesh;Brazil;1;680;1,4;4834;3,11;171;0,58;2612;0,04;
Bangladesh;Bulgaria;2;680;1,4;9387;6,04;171;1,17;4695;0,04;
Bangladesh;Canada;14;680;1,4;25485;16,39;171;8,19;14440;0,1;
Bangladesh;China;1;680;1,4;7801;5,02;171;0,58;3871;0,03;
Bangladesh;Croatia;1;680;1,4;2778;1,79;171;0,58;1364;0,07;
Bangladesh;Czech Republic;1;680;1,4;1181;0,76;171;0,58;692;0,14;
Bangladesh;Egypt;14;680;1,4;17182;11,05;171;8,19;8809;0,16;
Bangladesh;Estonia;1;680;1,4;800;0,51;171;0,58;438;0,23;
Bangladesh;France;1;680;1,4;3513;2,26;171;0,58;1601;0,06;
Bangladesh;Georgia;1;680;1,4;503;0,32;171;0,58;258;0,39;
Bangladesh;Germany ;2;680;1,4;7974;5,13;171;1,17;3700;0,05;
Bangladesh;Guatemala;1;680;1,4;187;0,12;171;0,58;6;16,67;
Bangladesh;Hong Kong;1;680;1,4;671;0,43;171;0,58;544;0,18;
Bangladesh;Hungary;1;680;1,4;1694;1,09;171;0,58;775;0,13;
Bangladesh;India;171;680;1,4;155501;100;171;100;80388;0,21;
Bangladesh;Indonesia;6;680;1,4;7742;4,98;171;3,51;4116;0,15;
Bangladesh;Italy;2;680;1,4;3404;2,19;171;1,17;1452;0,14;
Bangladesh;Kenya;2;680;1,4;1637;1,05;171;1,17;818;0,24;
Bangladesh;Lithuania;5;680;1,4;1867;1,2;171;2,92;958;0,52;
Bangladesh;Malaysia;1;680;1,4;3160;2,03;171;0,58;1760;0,06;
Bangladesh;Malta;1;680;1,4;393;0,25;171;0,58;190;0,53;
Bangladesh;Moldova;1;680;1,4;3146;2,02;171;0,58;1541;0,06;
Bangladesh;Nepal;1;680;1,4;1861;1,2;171;0,58;1018;0,1;
Bangladesh;Netherlands;1;680;1,4;3487;2,24;171;0,58;1579;0,06;
Bangladesh;New Zealand;1;680;1,4;1482;0,95;171;0,58;827;0,12;
Bangladesh;Nigeria;2;680;1,4;909;0,58;171;1,17;444;0,45;
Bangladesh;Norway;1;680;1,4;779;0,5;171;0,58;348;0,29;
Bangladesh;Pakistan;57;680;1,4;72899;46,88;171;33,33;36757;0,16;
Bangladesh;Philippines;2;680;1,4;13478;8,67;171;1,17;7059;0,03;
Bangladesh;Poland;5;680;1,4;7145;4,59;171;2,92;3520;0,14;
Bangladesh;Puerto Rico;1;680;1,4;56;0,04;171;0,58;31;3,23;
Bangladesh;Romania;74;680;1,4;92390;59,41;171;43,27;48482;0,15;
Bangladesh;Russian Federation;11;680;1,4;28357;18,24;171;6,43;14718;0,07;
Bangladesh;Rwanda;2;680;1,4;42;0,03;171;1,17;23;8,7;
Bangladesh;Saudi Arabia;1;680;1,4;645;0,41;171;0,58;335;0,3;
Bangladesh;Serbia;4;680;1,4;10957;7,05;171;2,34;5747;0,07;
Bangladesh;Singapore;4;680;1,4;2154;1,39;171;2,34;1182;0,34;
Bangladesh;Spain;1;680;1,4;4028;2,59;171;0,58;1948;0,05;
Bangladesh;Sri Lanka;12;680;1,4;6306;4,06;171;7,02;2884;0,42;
Bangladesh;Sweden;1;680;1,4;3060;1,97;171;0,58;1468;0,07;
Bangladesh;Thailand;3;680;1,4;1454;0,94;171;1,75;717;0,42;
Bangladesh;Turkey;5;680;1,4;4827;3,1;171;2,92;2421;0,21;
Bangladesh;Ukraine;36;680;1,4;27775;17,86;171;21,05;13875;0,26;
Bangladesh;United Arab Emirates;1;680;1,4;2335;1,5;171;0,58;1226;0,08;
Bangladesh;United Kingdom;18;680;1,4;29927;19,25;171;10,53;14558;0,12;
Bangladesh;United States;39;680;1,4;105420;67,79;171;22,81;80388;0,05;
Bangladesh;Uruguay;1;680;1,4;1500;0,96;171;0,58;124;0,81;
Bangladesh;Vietnam;18;680;1,4;9827;6,32;171;10,53;4529;0,4;
Barbados;Argentina;3;310;0,6;12720;8,18;129;2,33;6839;0,04;
Barbados;Australia;2;310;0,6;9761;6,28;129;1,55;5051;0,04;
Barbados;Bangladesh;19;310;0,6;17468;11,23;129;14,73;8416;0,23;
Barbados;Brazil;4;310;0,6;4834;3,11;129;3,1;2612;0,15;
Barbados;Bulgaria;1;310;0,6;9387;6,04;129;0,78;4695;0,02;
Barbados;Canada;4;310;0,6;25485;16,39;129;3,1;14440;0,03;
Barbados;China;1;310;0,6;7801;5,02;129;0,78;3871;0,03;
Barbados;Ecuador;1;310;0,6;790;0,51;129;0,78;459;0,22;
Barbados;Egypt;8;310;0,6;17182;11,05;129;6,2;8809;0,09;
Barbados;Germany ;1;310;0,6;7974;5,13;129;0,78;3700;0,03;
Barbados;India;129;310;0,6;155501;100;129;100;80388;0,16;
Barbados;Indonesia;1;310;0,6;7742;4,98;129;0,78;4116;0,02;
Barbados;Lithuania;2;310;0,6;1867;1,2;129;1,55;958;0,21;
Barbados;Moldova;1;310;0,6;3146;2,02;129;0,78;1541;0,06;
Barbados;Nepal;1;310;0,6;1861;1,2;129;0,78;1018;0,1;
Barbados;Nigeria;1;310;0,6;909;0,58;129;0,78;444;0,23;
Barbados;Pakistan;31;310;0,6;72899;46,88;129;24,03;36757;0,08;
Barbados;Philippines;1;310;0,6;13478;8,67;129;0,78;7059;0,01;
Barbados;Poland;2;310;0,6;7145;4,59;129;1,55;3520;0,06;
Barbados;Portugal;1;310;0,6;2963;1,91;129;0,78;1682;0,06;
Barbados;Romania;42;310;0,6;92390;59,41;129;32,56;48482;0,09;
Barbados;Russian Federation;7;310;0,6;28357;18,24;129;5,43;14718;0,05;
Barbados;Serbia;2;310;0,6;10957;7,05;129;1,55;5747;0,03;
Barbados;Singapore;2;310;0,6;2154;1,39;129;1,55;1182;0,17;
Barbados;Slovakia;5;310;0,6;631;0,41;129;3,88;306;1,63;
Barbados;South Africa;2;310;0,6;2355;1,51;129;1,55;1027;0,19;
Barbados;Switzerland;4;310;0,6;736;0,47;129;3,1;333;1,2;
Barbados;Turkey;4;310;0,6;4827;3,1;129;3,1;2421;0,17;
Barbados;Ukraine;3;310;0,6;27775;17,86;129;2,33;13875;0,02;
Barbados;United Arab Emirates;1;310;0,6;2335;1,5;129;0,78;1226;0,08;
Barbados;United Kingdom;7;310;0,6;29927;19,25;129;5,43;14558;0,05;
Barbados;United States;12;310;0,6;105420;67,79;129;9,3;80388;0,01;
Barbados;Vietnam;5;310;0,6;9827;6,32;129;3,88;46;10,87;
Belarus ;Argentina;2;111;0,2;12720;8,18;24;8,33;6839;0,03;
Belarus ;Australia;1;111;0,2;9761;6,28;24;4,17;5051;0,02;
Belarus ;Belarus ;10;111;0,2;3044;1,96;24;41,67;1391;0,72;
Belarus ;Brazil;1;111;0,2;4834;3,11;24;4,17;2612;0,04;
Belarus ;Canada;1;111;0,2;25485;16,39;24;4,17;14440;0,01;
Belarus ;Egypt;1;111;0,2;17182;11,05;24;4,17;8809;0,01;
Belarus ;Germany ;1;111;0,2;7974;5,13;24;4,17;3700;0,03;
Belarus ;India;7;111;0,2;155501;100;24;29,17;80388;0,01;
Belarus ;Kyrgyzstan;3;111;0,2;1521;0,98;24;12,5;821;0,37;
Belarus ;Latvia;1;111;0,2;655;0,42;24;4,17;255;0,39;
Belarus ;Lebanon;3;111;0,2;1029;0,66;24;12,5;544;0,55;
Belarus ;Pakistan;6;111;0,2;72899;46,88;24;25;36757;0,02;
Belarus ;Romania;14;111;0,2;92390;59,41;24;58,33;48482;0,03;
Belarus ;Russian Federation;7;111;0,2;28357;18,24;24;29,17;14718;0,05;
Belarus ;Tunisia;1;111;0,2;1968;1,27;24;4,17;825;0,12;
Belarus ;Ukraine;23;111;0,2;27775;17,86;24;95,83;13875;0,17;
Belarus ;United Arab Emirates;1;111;0,2;2335;1,5;24;4,17;1226;0,08;
Belarus ;United Kingdom;3;111;0,2;29927;19,25;24;12,5;14558;0,02;
Belarus ;United States;24;111;0,2;105420;67,79;24;100;64074;0,04;
Belarus ;Vietnam;1;111;0,2;9827;6,32;24;4,17;4529;0,02;
Belgium ;;10;5217;10,6;0;0;842;1,19;1527;0,65;
Belgium ;Afghanistan;3;5217;10,6;41;0,03;842;0,36;16;18,75;
Belgium ;Albania ;1;5217;10,6;68;0,04;842;0,12;37;2,7;
Belgium ;Argentina;81;5217;10,6;12720;8,18;842;9,62;6839;1,18;
Belgium ;Armenia;14;5217;10,6;1985;1,28;842;1,66;1066;1,31;
Belgium ;Australia;56;5217;10,6;9761;6,28;842;6,65;5051;1,11;
Belgium ;Austria;9;5217;10,6;602;0,39;842;1,07;279;3,23;
Belgium ;Azerbaijan;4;5217;10,6;823;0,53;842;0,48;493;0,81;
Belgium ;Bahrain;1;5217;10,6;29;0,02;842;0,12;18;5,56;
Belgium ;Bangladesh;59;5217;10,6;17468;11,23;842;7,01;8416;0,7;
Belgium ;Belarus ;25;5217;10,6;3044;1,96;842;2,97;1391;1,8;
Belgium ;Belgium ;46;5217;10,6;1653;1,06;842;5,46;853;5,39;
Belgium ;Bolivia;1;5217;10,6;134;0,09;842;0,12;9;11,11;
Belgium ;Bosnia and Herzegowina;7;5217;10,6;1563;1,01;842;0,83;82;8,54;
Belgium ;Brazil;39;5217;10,6;4834;3,11;842;4,63;2612;1,49;
Belgium ;Bulgaria;69;5217;10,6;9387;6,04;842;8,19;4695;1,47;
Belgium ;Canada;141;5217;10,6;25485;16,39;842;16,75;14440;0,98;
Belgium ;Chile;2;5217;10,6;493;0,32;842;0,24;293;0,68;
Belgium ;China;71;5217;10,6;7801;5,02;842;8,43;3871;1,83;
Belgium ;Colombia;6;5217;10,6;889;0,57;842;0,71;524;1,15;
Belgium ;Croatia;22;5217;10,6;2778;1,79;842;2,61;1364;1,61;
Belgium ;Czech Republic;26;5217;10,6;1181;0,76;842;3,09;692;3,76;
Belgium ;Denmark;15;5217;10,6;702;0,45;842;1,78;329;4,56;
Belgium ;Dominican Republic;4;5217;10,6;752;0,48;842;0,48;412;0,97;
Belgium ;Egypt;91;5217;10,6;17182;11,05;842;10,81;8809;1,03;
Belgium ;El Salvador;4;5217;10,6;260;0,17;842;0,48;155;2,58;
Belgium ;Estonia;8;5217;10,6;800;0,51;842;0,95;438;1,83;
Belgium ;Ethiopia;3;5217;10,6;84;0,05;842;0,36;48;6,25;
Belgium ;Finland;19;5217;10,6;808;0,52;842;2,26;318;5,97;
Belgium ;Former Yugoslav Republic Of Macedonia;10;5217;10,6;1198;0,77;842;1,19;624;1,6;
Belgium ;France;55;5217;10,6;3513;2,26;842;6,53;1601;3,44;
Belgium ;Georgia;6;5217;10,6;503;0,32;842;0,71;258;2,33;
Belgium ;Germany ;93;5217;10,6;7974;5,13;842;11,05;3700;2,51;
Belgium ;Greece;21;5217;10,6;1848;1,19;842;2,49;844;2,49;
Belgium ;Hong Kong;4;5217;10,6;671;0,43;842;0,48;418;0,96;
Belgium ;Hungary;19;5217;10,6;1694;1,09;842;2,26;775;2,45;
Belgium ;Iceland;1;5217;10,6;66;0,04;842;0,12;33;3,03;
Belgium ;India;842;5217;10,6;155501;100;842;100;80388;1,05;
Belgium ;Indonesia;51;5217;10,6;7742;4,98;842;6,06;4116;1,24;
Belgium ;Ireland;9;5217;10,6;925;0,59;842;1,07;477;1,89;
Belgium ;Israel;50;5217;10,6;3125;2,01;842;5,94;1688;2,96;
Belgium ;Italy;58;5217;10,6;3404;2,19;842;6,89;1452;3,99;
Belgium ;Japan;11;5217;10,6;705;0,45;842;1,31;359;3,06;
Belgium ;Jordan;7;5217;10,6;864;0,56;842;0,83;438;1,6;
Belgium ;Kazakhstan;1;5217;10,6;253;0,16;842;0,12;147;0,68;
Belgium ;Kenya;5;5217;10,6;1637;1,05;842;0,59;818;0,61;
Belgium ;Korea;8;5217;10,6;127;0,08;842;0,95;33;24,24;
Belgium ;Kosovo;3;5217;10,6;10;0,01;842;0,36;0;#DIV/0!;
Belgium ;Latvia;5;5217;10,6;655;0,42;842;0,59;255;1,96;
Belgium ;Lebanon;2;5217;10,6;1029;0,66;842;0,24;544;0,37;
Belgium ;Lithuania;72;5217;10,6;1867;1,2;842;8,55;958;7,52;
Belgium ;Macau;1;5217;10,6;43;0,03;842;0,12;25;4;
Belgium ;Madagascar;1;5217;10,6;63;0,04;842;0,12;34;2,94;
Belgium ;Malaysia;36;5217;10,6;3160;2,03;842;4,28;1760;2,05;
Belgium ;Malta;3;5217;10,6;393;0,25;842;0,36;190;1,58;
Belgium ;Mexico;5;5217;10,6;3465;2,23;842;0,59;1732;0,29;
Belgium ;Moldova;21;5217;10,6;3146;2,02;842;2,49;1541;1,36;
Belgium ;Mongolia;1;5217;10,6;331;0,21;842;0,12;169;0,59;
Belgium ;Morocco;7;5217;10,6;1112;0,72;842;0,83;517;1,35;
Belgium ;Nepal;10;5217;10,6;1861;1,2;842;1,19;1018;0,98;
Belgium ;Netherlands;44;5217;10,6;3487;2,24;842;5,23;1579;2,79;
Belgium ;New Zealand;5;5217;10,6;1482;0,95;842;0,59;827;0,6;
Belgium ;Nigeria;1;5217;10,6;909;0,58;842;0,12;444;0,23;
Belgium ;Northern Mariana Islands;1;5217;10,6;10;0,01;842;0,12;3;33,33;
Belgium ;Norway;28;5217;10,6;779;0,5;842;3,33;348;8,05;
Belgium ;Pakistan;316;5217;10,6;72899;46,88;842;37,53;36757;0,86;
Belgium ;Palestine;14;5217;10,6;206;0,13;842;1,66;104;13,46;
Belgium ;Panama;1;5217;10,6;47;0,03;842;0,12;28;3,57;
